Name,Symbol
Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,BPYPN
Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,BPYPO
Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,BPYPP
Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,BQ
Broadridge Financial Solutions Inc. Common Stock,BR
Bragg Gaming Group Inc. Common Shares,BRAG
BellRing Brands Inc. Class A Common Stock,BRBR
Blue Ridge Bankshares Inc. Common Stock,BRBS
Brady Corporation Common Stock,BRC
Burcon NutraScience Corp. Common Stock,BRCN
Bridge Investment Group Holdings Inc. Class A Common Stock,BRDG
Bird Global Inc. Class A Common Stock,BRDS
Breeze Holdings Acquisition Corp. Common Stock,BREZ
Breeze Holdings Acquisition Corp. Right,BREZR
Breeze Holdings Acquisition Corp. Warrant,BREZW
BRF S.A.,BRFS
Bluerock Residential Growth REIT Inc. Class A Common Stock,BRG
Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,BRG^C
Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),BRG^D
Bridgford Foods Corporation Common Stock,BRID
B. Riley Principal 250 Merger Corp. Class A common stock,BRIV
B. Riley Principal 250 Merger Corp. Units,BRIVU
B. Riley Principal 250 Merger Corp. Warrant,BRIVW
Berkshire Hathaway Inc.,BRK/A
Berkshire Hathaway Inc.,BRK/B
BurTech Acquisition Corp. Unit,BRKHU
Brookline Bancorp Inc. Common Stock,BRKL
Bruker Corporation Common Stock,BRKR
Brilliant Acquisition Corporation Ordinary Shares,BRLI
Brilliant Acquisition Corporation Rights,BRLIR
Brilliant Acquisition Corporation Warrants,BRLIW
Brilliant Earth Group Inc. Class A Common Stock,BRLT
Broadmark Realty Capital Inc. Common Stock,BRMK
Barnwell Industries Inc. Common Stock,BRN
Brown & Brown Inc. Common Stock,BRO
Brooge Energy Limited Ordinary Shares,BROG
Brooge Holdings Limited Warrant expiring 12/20/2024,BROGW
Dutch Bros Inc. Class A Common Stock,BROS
BRP Group Inc. (Insurance Company) Class A Common Stock,BRP
B. Riley Principal 150 Merger Corp. Class A Common Stock,BRPM
B. Riley Principal 150 Merger Corp. Unit,BRPMU
B. Riley Principal 150 Merger Corp. Warrant,BRPMW
Borqs Technologies Inc. Ordinary Shares,BRQS
BrightSpire Capital Inc. Class A Common Stock,BRSP
BRT Apartments Corp. (MD) Common Stock,BRT
BioRestorative Therapies Inc. Common Stock,BRTX
Saba Capital Income & Opportunities Fund SBI,BRW
Brixmor Property Group Inc. Common Stock,BRX
Berry Corporation (bry) Common Stock,BRY
Braze Inc. Class A Common Stock,BRZE
BrightSphere Investment Group Inc. 5.125% Notes due 2031,BSA
Banco Santander - Chile ADS,BSAC
Black Spade Acquisition Co Class A Ordinary Shares,BSAQ
Bogota Financial Corp. Common Stock,BSBK
Banco Santander Brasil SA American Depositary Shares each representing one unit,BSBR
Bassett Furniture Industries Incorporated Common Stock,BSET
Blue Star Foods Corp. Common Stock,BSFC
Blue Safari Group Acquisition Corp. Class A Ordinary Share,BSGA
Blue Safari Group Acquisition Corp. Right,BSGAR
BioSig Technologies Inc. Common Stock,BSGM
BrightSphere Investment Group Inc. Common Stock,BSIG
Big Sky Growth Partners Inc. Class A Common Stock,BSKY
Big Sky Growth Partners Inc. Unit,BSKYU
Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest,BSL
Black Stone Minerals L.P. Common units representing limited partner interests,BSM
Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,BSMX
BSQUARE Corporation Common Stock,BSQR
Sierra Bancorp Common Stock,BSRR
BlackRock Science and Technology Trust Common Shares of Beneficial Interest,BST
BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,BSTZ
Bank7 Corp. Common stock,BSVN
Boston Scientific Corporation Common Stock,BSX
Boston Scientific Corporation 5.50% Mandatory Convertible Preferred Stock Series A,BSX^A
Bentley Systems Incorporated Class B Common Stock,BSY
BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,BTA
BioXcel Therapeutics Inc. Common Stock,BTAI
Burgundy Technology Acquisition Corporation Class A Ordinary shares,BTAQ
Burgundy Technology Acquisition Corporation Unit,BTAQU
Burgundy Technology Acquisition Corporation Warrant,BTAQW
Bit Brother Limited Ordinary Shares,BTB
BT Brands Inc. Common Stock,BTBD
BT Brands Inc. Warrant,BTBDW
Bit Digital Inc. Ordinary Shares,BTBT
BIT Mining Limited ADS,BTCM
BTCS Inc. Common Stock,BTCS
Biotricity Inc. Common Stock,BTCY
B2Gold Corp Common shares (Canada),BTG
British American Tobacco  Industries p.l.c. Common Stock ADR,BTI
Ballantyne Strong Inc. Common Stock,BTN
Bridgetown 2 Holdings Limited Class A Ordinary Shares,BTNB
John Hancock Financial Opportunities Fund Common Stock,BTO
BTRS Holdings Inc. Class 1 Common Stock,BTRS
BTRS Holdings Inc. Warrants,BTRSW
BlackRock Municipal 2030 Target Term Trust,BTT
Better Choice Company Inc. Common Stock,BTTR
Better Therapeutics Inc. Common Stock,BTTX
Peabody Energy Corporation Common Stock ,BTU
Bridgetown Holdings Limited Class A Ordinary Shares,BTWN
Bridgetown Holdings Limited Units,BTWNU
Bridgetown Holdings Limited Warrants,BTWNW
Brooklyn ImmunoTherapeutics Inc. Common Stock,BTX
BlackRock Credit Allocation Income Trust,BTZ
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),BUD
BlackRock Utility Infrastructure & Power Opportunities Trust,BUI
Burford Capital Limited Ordinary Shares,BUR
Burlington Stores Inc. Common Stock,BURL
First Busey Corporation Class A Common Stock,BUSE
BrightView Holdings Inc. Common Stock,BV
Bluegreen Vacations Holding Corporation Class A Common Stock,BVH
Buenaventura Mining Company Inc.,BVN
Bioventus Inc. Class A Common Stock,BVS
BiondVax Pharmaceuticals Ltd. American Depositary Shares,BVXV
Babcock & Wilcox Enterprises Inc. Common Stock,BW
Babcock & Wilcox Enterprises Inc. 7.75% Series A Cumulative Perpetual Preferred Stock,BW^A
BorgWarner Inc. Common Stock,BWA
Better World Acquisition Corp. Common Stock,BWAC
Better World Acquisition Corp. Unit,BWACU
Better World Acquisition Corp. Warrants,BWACW
BrainsWay Ltd. American Depositary Shares,BWAY
Bridgewater Bancshares Inc. Common Stock,BWB
Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,BWBBP
Blue Whale Acquisition Corp I Class A Ordinary Shares,BWC
Blue Whale Acquisition Corp I Warrant,BWCAW
Broadwind Inc. Common Stock,BWEN
Bankwell Financial Group Inc. Common Stock,BWFG
BrandywineGLOBAL Global Income Opportunities Fund Inc.,BWG
Bowman Consulting Group Ltd. Common Stock,BWMN
Betterware de Mexico S.A.B. de C.V. Ordinary Shares,BWMX
Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026,BWNB
Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026,BWSN
BWX Technologies Inc. Common Stock,BWXT
Blackstone Inc. Common Stock,BX
Bluelinx Holdings Inc. Common Stock,BXC
Blackstone Mortgage Trust Inc. Common Stock,BXMT
Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,BXMX
Boston Properties Inc. Common Stock,BXP
Baudax Bio Inc. Common Stock,BXRX
Blackstone Secured Lending Fund Common Shares of Beneficial Interest,BXSL
Byline Bancorp Inc. Common Stock,BY
Boyd Gaming Corporation Common Stock,BYD
Broadway Financial Corporation Common Stock,BYFC
Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,BYM
Beyond Meat Inc. Common Stock,BYND
Byrna Technologies Inc. Common Stock,BYRN
BeyondSpring Inc. Ordinary Shares,BYSI
BYTE Acquisition Corp. Class A Ordinary Shares,BYTS
BYTE Acquisition Corp. Units,BYTSU
BYTE Acquisition Corp. Warrants,BYTSW
KANZHUN LIMITED American Depository Shares,BZ
BuzzFeed Inc. Class A Common Stock,BZFD
BuzzFeed Inc. Warrant,BZFDW
Beazer Homes USA Inc. Common Stock,BZH
Baozun Inc. American Depositary Shares,BZUN
Citigroup Inc. Common Stock,C
Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg,C^J
Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K,C^K
Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS),C^N
Corporacion America Airports SA Common Shares,CAAP
China Automotive Systems Inc. Common Stock,CAAS
Cabaletta Bio Inc. Common Stock,CABA
Cable One Inc. Common Stock,CABO
Camden National Corporation Common Stock,CAC
Credit Acceptance Corporation Common Stock,CACC
CACI International Inc. Class A Common Stock,CACI
Cadence Bank Common Stock,CADE
Cadence Bank 5.50% Series A ,CADE^A
Candel Therapeutics Inc. Common Stock,CADL
CAE Inc. Ordinary Shares,CAE
Morgan Stanley China A Share Fund Inc. Common Stock,CAF
ConAgra Brands Inc. Common Stock,CAG
Cardinal Health Inc. Common Stock,CAH
Canon Inc. American Depositary Shares,CAJ
Cheesecake Factory Incorporated (The) Common Stock,CAKE
Caleres Inc. Common Stock,CAL
Calithera Biosciences Inc. Common Stock,CALA
California BanCorp Common Stock,CALB
Cal-Maine Foods Inc. Common Stock,CALM
Calliditas Therapeutics AB American Depositary Shares,CALT
Calix Inc Common Stock,CALX
CalAmp Corp. Common Stock,CAMP
Camtek Ltd. Ordinary Shares,CAMT
Canaan Inc. American Depositary Shares,CAN
Can-Fite Biopharma Ltd Sponsored ADR (Israel),CANF
Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,CANG
Cano Health Inc. Class A Common Stock,CANO
CrossAmerica Partners LP Common Units representing limited partner interests,CAPL
Capricor Therapeutics Inc. Common Stock,CAPR
Avis Budget Group Inc. Common Stock,CAR
Cara Therapeutics Inc. Common Stock,CARA
Carter Bankshares Inc. Common Stock,CARE
CarGurus Inc. Class A Common Stock ,CARG
Carrier Global Corporation Common Stock ,CARR
Cars.com Inc. Common Stock ,CARS
Carver Bancorp Inc. Common Stock,CARV
Cascade Acquisition Corp. Class A Common Stock,CAS
Casa Systems Inc. Common Stock,CASA
Meta Financial Group Inc. Common Stock,CASH
CASI Pharmaceuticals Inc. Common Stock,CASI
Cass Information Systems Inc Common Stock,CASS
Casey's General Stores Inc. Common Stock,CASY
Caterpillar Inc. Common Stock,CAT
Cambridge Bancorp Common Stock,CATC
Cato Corporation (The) Class A Common Stock,CATO
Cathay General Bancorp Common Stock,CATY
Chubb Limited  Common Stock,CB
Colony Bankcorp Inc. Common Stock,CBAN
CBAK Energy Technology Inc. Common Stock,CBAT
CymaBay Therapeutics Inc. Common Stock,CBAY
Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,CBD
CB Financial Services Inc. Common Stock,CBFV
Virtus AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest,CBH
Catalyst Biosciences Inc. Common Stock,CBIO
CBL & Associates Properties Inc. Common Stock,CBL
Capital Bancorp Inc. Common Stock,CBNK
Cboe Global Markets Inc. Common Stock,CBOE
CBRE Group Inc Common Stock Class A,CBRE
Chain Bridge I Units,CBRGU
Cracker Barrel Old Country Store Inc Common Stock,CBRL
Commerce Bancshares Inc. Common Stock,CBSH
Cabot Corporation Common Stock,CBT
CBTX Inc. Common Stock,CBTX
Community Bank System Inc. Common Stock,CBU
CBIZ Inc. Common Stock,CBZ
Chemours Company (The) Common Stock,CC
CITIC Capital Acquisition Corp. Class A Ordinary Shares,CCAC
Cascadia Acquisition Corp. Class A Common Stock,CCAI
Cascadia Acquisition Corp. Warrant,CCAIW
Crescent Capital BDC Inc. Common stock,CCAP
Coastal Financial Corporation Common Stock,CCB
Capital City Bank Group Common Stock,CCBG
C4 Therapeutics Inc. Common Stock,CCCC
CCC Intelligent Solutions Holdings Inc. Common Stock,CCCS
Calamos Dynamic Convertible & Income Fund Common Stock,CCD
Cryo-Cell International Inc. Common Stock,CCEL
Coca-Cola Europacific Partners plc Ordinary Shares,CCEP
Chase Corporation Common Stock,CCF
Crown Castle International Corp. (REIT) Common Stock,CCI
Cameco Corporation Common Stock,CCJ
Crown Holdings Inc.,CCK
Carnival Corporation Common Stock,CCL
CSI Compressco LP Common Units,CCLP
Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),CCM
CMC Materials Inc. Common Stock,CCMP
Code Chain New Continent Limited Common Stock,CCNC
CNB Financial Corporation Common Stock,CCNE
CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,CCNEP
Clear Channel Outdoor Holdings Inc. Common Stock,CCO
Cogent Communications Holdings Inc.,CCOI
Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,CCRN
Century Communities Inc. Common Stock,CCS
Consensus Cloud Solutions Inc. Common Stock,CCSI
Cactus Acquisition Corp. 1 Limited Unit,CCTSU
Compania Cervecerias Unidas S.A. Common Stock,CCU
Churchill Capital Corp V Class A Common Stock,CCV
Churchill Capital Corp VI Class A Common Stock,CCVI
ChemoCentryx Inc. Common Stock,CCXI
Comcast Holdings ZONES,CCZ
Chindata Group Holdings Limited American Depositary Shares,CD
Codiak BioSciences Inc. Common Stock,CDAK
Compass Digital Acquisition Corp. Class A Ordinary Shares,CDAQ
Compass Digital Acquisition Corp. Unit,CDAQU
Ceridian HCM Holding Inc. Common Stock,CDAY
Coeur Mining Inc. Common Stock,CDE
Centennial Resource Development Inc. Class A Common Stock,CDEV
CDK Global Inc. Common Stock,CDK
Cardlytics Inc. Common Stock,CDLX
Avid Bioservices Inc. Common Stock,CDMO
CareDx Inc. Common Stock,CDNA
Cadence Design Systems Inc. Common Stock,CDNS
Condor Hospitality Trust Inc. Common Stock,CDOR
Cedar Realty Trust Inc. Common Stock,CDR
Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,CDR^B
Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock,CDR^C
Cadre Holdings Inc. Common Stock,CDRE
Codere Online Luxembourg S.A. Ordinary Shares,CDRO
Codere Online Luxembourg S.A. Warrants,CDROW
Cidara Therapeutics Inc. Common Stock,CDTX
CDW Corporation Common Stock,CDW
ChromaDex Corporation Common Stock,CDXC
Codexis Inc. Common Stock,CDXS
CADIZ Inc. Common Stock,CDZI
Cadiz Inc. Depositary Shares,CDZIP
Celanese Corporation Celanese Corporation Common Stock,CE
China Eastern Airlines Corporation Ltd. Common Stock,CEA
CECO Environmental Corp. Common Stock,CECE
The Central and Eastern Europe Fund Inc. (The) Common Stock,CEE
Camber Energy Inc. Common Stock,CEI
CONSOL Energy Inc. Common Stock ,CEIX
Celcuity Inc. Common Stock,CELC
Celsius Holdings Inc. Common Stock,CELH
Cypress Environmental Partners L.P. Common Units representing limited partner interests,CELP
Celularity Inc. Class A Common Stock,CELU
Celularity Inc. Warrant,CELUW
Creative Medical Technology Holdings Inc. Common Stock,CELZ
ClearBridge MLP and Midstream Fund Inc. Common Stock,CEM
Chembio Diagnostics Inc. Common Stock,CEMI
Center Coast Brookfield MLP & Energy Infrastructure Fund,CEN
CENAQ Energy Corp. Class A Ordinary Shares,CENQ
CENAQ Energy Corp. Unit,CENQU
CENAQ Energy Corp. Warrant,CENQW
Central Garden & Pet Company Common Stock,CENT
Central Garden & Pet Company Class A Common Stock Nonvoting,CENTA
Century Aluminum Company Common Stock,CENX
Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),CEPU
Crestwood Equity Partners LP,CEQP
Crestwood Equity Partners LP Preferred Units representing limited partner interests,CEQP^
Cerevel Therapeutics Holdings Inc. Common Stock,CERE
Cerner Corporation Common Stock,CERN
Cerus Corporation Common Stock,CERS
Certara Inc. Common Stock,CERT
Central Securities Corporation Common Stock,CET
Cemtrex Inc. Common Stock,CETX
Cemtrex Inc. Series 1 Preferred Stock,CETXP
Cemtrex Inc. Series 1 Warrant,CETXW
Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,CEV
CEVA Inc. Common Stock,CEVA
CF Industries Holdings Inc. Common Stock,CF
CrossFirst Bankshares Inc. Common Stock,CFB
CF Bankshares Inc. Common Stock,CFBK
CF Acquisition Corp. VIII Class A Common Stock,CFFE
CF Acquisition Corp. VIII Warrant,CFFEW
C&F Financial Corporation Common Stock,CFFI
Capitol Federal Financial Inc. Common Stock,CFFN
CF Acquisition Corp. VII Unit,CFFSU
CF Acquisition Corp. V Unit,CFFVU
CF Acquisition Corp. V Warrant,CFFVW
Citizens Financial Group Inc. Common Stock,CFG
Citizens Financial Group Inc. Depositary Shares each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D,CFG^D
Citizens Financial Group Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series E,CFG^E
CF Acquisition Corp. IV Class A common stock,CFIV
CF Acquisition Corp. IV Unit,CFIVU
CF Acquisition Corp. IV Warrant,CFIVW
Confluent Inc. Class A Common Stock,CFLT
Conformis Inc. Common Stock,CFMS
Cullen/Frost Bankers Inc. Common Stock,CFR
Cullen/Frost Bankers Inc. Depositary Shares each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock Series B,CFR^B
ContraFect Corporation Common Stock,CFRX
CF Acquisition Corp. V Class A Common Stock,CFV
CF Acquisition Corp. VI Class A Common Stock,CFVI
CF Acquisition Corp. VI Unit,CFVIU
CF Acquisition Corp. VI Warrant,CFVIW
Colfax Corporation Common Stock,CFX
Colfax Corporation 5.75% Tangible Equity Units,CFXA
The Carlyle Group Inc. Common Stock,CG
China Green Agriculture Inc. Common Stock,CGA
The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,CGABL
Centerra Gold Inc. Common Shares,CGAU
TCG BDC Inc. Common Stock,CGBD
Canopy Growth Corporation Common Shares,CGC
Cullinan Oncology Inc. Common Stock,CGEM
Compugen Ltd. Ordinary Shares,CGEN
Cognyte Software Ltd. Ordinary Shares,CGNT
Cognex Corporation Common Stock,CGNX
Calamos Global Total Return Fund Common Stock,CGO
Capstone Green Energy Corporation Common Stock,CGRN
Cognition Therapeutics Inc. Common Stock,CGTX
Catcha Investment Corp. Class A Ordinary Shares,CHAA
Comstock Holding Companies Inc. Class A Common Stock,CHCI
City Holding Company Common Stock,CHCO
Community Healthcare Trust Incorporated Common Stock,CHCT
Church & Dwight Company Inc. Common Stock,CHD
Churchill Downs Incorporated Common Stock,CHDN
Chemed Corp,CHE
The Chefs' Warehouse Inc. Common Stock,CHEF
Check-Cap Ltd. Ordinary Share,CHEK
Check-Cap Ltd. Series C Warrant,CHEKZ
Chegg Inc. Common Stock,CHGG
Choice Hotels International Inc. Common Stock,CHH
Calamos Convertible Opportunities and Income Fund Common Stock,CHI
Chesapeake Energy Corporation Common Stock,CHK
Chesapeake Energy Corporation Class C Warrants,CHKEL
Chesapeake Energy Corporation Class A Warrants,CHKEW
Chesapeake Energy Corporation Class B Warrants,CHKEZ
Check Point Software Technologies Ltd. Ordinary Shares,CHKP
Chemung Financial Corp Common Stock,CHMG
Cherry Hill Mortgage Investment Corporation Common Stock,CHMI
Cherry Hill Mortgage Investment Corporation 8.20% Series A Cumulative Redeemable Preferred Stock,CHMI^A
Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CHMI^B
China Fund Inc. (The) Common Stock,CHN
Change Healthcare Inc. Common Stock,CHNG
Change Healthcare Inc. Tangible Equity Units,CHNGU
China Natural Resources Inc. Common Stock,CHNR
CHP Merger Corp. Class A Common Stock,CHPM
CHP Merger Corp. Unit,CHPMU
CHP Merger Corp. Warrant,CHPMW
ChargePoint Holdings Inc. Common Stock,CHPT
Charah Solutions Inc. Common Stock,CHRA
Charah Solutions Inc. 8.50% Senior Notes due 2026,CHRB
Coherus BioSciences Inc. Common Stock,CHRS
C.H. Robinson Worldwide Inc. Common Stock,CHRW
Chico's FAS Inc. Common Stock,CHS
CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,CHSCL
CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,CHSCM
CHS Inc Preferred Class B Series 2 Reset Rate,CHSCN
CHS Inc. Class B Cumulative Redeemable Preferred Stock,CHSCO
CHS Inc. 8%  Cumulative Redeemable Preferred Stock,CHSCP
Chunghwa Telecom Co. Ltd.,CHT
Charter Communications Inc. Class A Common Stock New,CHTR
Chuy's Holdings Inc. Common Stock,CHUY
Calamos Global Dynamic Income Fund Common Stock,CHW
CHW Acquisition Corporation Ordinary Share,CHWA
CHW Acquisition Corporation Unit,CHWAU
CHW Acquisition Corporation Warrant,CHWAW
Chewy Inc. Class A Common Stock,CHWY
ChampionX Corporation Common Stock ,CHX
Calamos Convertible and High Income Fund Common Stock,CHY
Cigna Corporation Common Stock,CI
Citizens Inc. Class A Common Stock ($1.00 Par),CIA
Cian PLC American Depositary Shares each representing one Ordinary Share,CIAN
BanColombia S.A. Common Stock,CIB
Cinedigm Corp. Class A Common Stock,CIDM
Ciena Corporation Common Stock,CIEN
MFS Intermediate High Income Fund Common Stock,CIF
Cipher Mining Inc. Common Stock,CIFR
Cipher Mining Inc. Warrant,CIFRW
Comp En De Mn Cemig ADS American Depositary Shares,CIG
Colliers International Group Inc. Subordinate Voting Shares,CIGI
China Index Holdings Limited American Depository Shares,CIH
Blackrock Capital and Income Fund Inc.,CII
CIIG Capital Partners II Inc. Class A Common Stock,CIIG
CIIG Capital Partners II Inc. Unit,CIIGU
CIIG Capital Partners II Inc. Warrant,CIIGW
Credit Suisse Asset Management Income Fund Inc. Common Stock,CIK
Chimera Investment Corporation Common Stock,CIM
Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,CIM^A
Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CIM^B
Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock,CIM^C
Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CIM^D
Cincinnati Financial Corporation Common Stock,CINF
Cingulate Inc. Common Stock,CING
Cingulate Inc. Warrants,CINGW
Ciner Resources LP Common Units representing Limited Partner Interests,CINR
CI&T Inc Class A Common Shares,CINT
City Office REIT Inc. Common Stock,CIO
City Office REIT Inc. 6.625% Series A Cumulative Redeemable Preferred Stock,CIO^A
CION Investment Corporation Common Stock,CION
CIRCOR International Inc. Common Stock,CIR
Cerberus Cyber Sentinel Corporation,CISO
CIT Group Inc (DEL) Common Stock,CIT
CIT Group Inc (DEL) 5.625 % Non-Cumulative Perpetual Preferred Stock Series B,CIT^B
Civista Bancshares Inc. Common Stock,CIVB
Civitas Resources Inc. Common Stock,CIVI
CompX International Inc. Common Stock,CIX
CI Financial Corp. Common Shares,CIXX
Citizens Holding Company Common Stock,CIZN
China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares,CJJD
Checkpoint Therapeutics Inc. Common Stock,CKPT
CKX Lands Inc. Common Stock,CKX
Colgate-Palmolive Company Common Stock,CL
Colonnade Acquisition Corp. II Class A Ordinary Shares,CLAA
CleanTech Acquisition Corp. Common stock,CLAQ
CleanTech Acquisition Corp. Rights,CLAQR
CleanTech Acquisition Corp. Units,CLAQU
CleanTech Acquisition Corp. Warrant,CLAQW
Clarus Corporation Common Stock,CLAR
Class Acceleration Corp. Class A Common Stock,CLAS
Core Laboratories N.V. Common Stock,CLB
Columbia Financial Inc. Common Stock,CLBK
Colombier Acquisition Corp. Class A Common Stock,CLBR
Caladrius Biosciences Inc. Common Stock,CLBS
Cellebrite DI Ltd. Ordinary Shares,CLBT
Cellebrite DI Ltd. Warrants,CLBTW
Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,CLDT
Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,CLDT^A
Celldex Therapeutics Inc.,CLDX
China Liberal Education Holdings Limited Ordinary Shares,CLEU
Cleveland-Cliffs Inc. Common Stock,CLF
Clearfield Inc. Common Stock,CLFD
CollPlant Biotechnologies Ltd Ordinary Shares,CLGN
Clean Harbors Inc. Common Stock,CLH
Climate Real Impact Solutions II Acquisition Corporation Class A Common Stock,CLIM
ClearSign Technologies Corporation Common Stock,CLIR
Cellectis S.A. American Depositary Shares,CLLS
Cornerstone Strategic Value Fund Inc. New Common Stock,CLM
Calumet Specialty Products Partners L.P. Common Units,CLMT
Clean Energy Fuels Corp. Common Stock,CLNE
Clene Inc. Common Stock,CLNN
Clene Inc. Warrant,CLNNW
Clover Leaf Capital Corp. Class A Common Stock,CLOE
Clover Leaf Capital Corp. Rights,CLOER
Clover Health Investments Corp. Class A Common Stock,CLOV
Clipper Realty Inc. Common Stock,CLPR
CLPS Incorporation Common Stock,CLPS
ClearPoint Neuro Inc. Common Stock,CLPT
Continental Resources Inc. Common Stock,CLR
Cellectar Biosciences Inc.  Common Stock,CLRB
Clarim Acquisition Corp. Class A Common Stock,CLRM
Clarim Acquisition Corp. Unit,CLRMU
Clarim Acquisition Corp. Warrant,CLRMW
ClearOne Inc. (DE) Common Stock,CLRO
Celestica Inc. Common Stock,CLS
Clearside Biomedical Inc. Common Stock,CLSD
CleanSpark Inc. Common Stock,CLSK
Celsion Corporation Common Stock,CLSN
Catalyst Bancorp Inc. Common Stock,CLST
Clever Leaves Holdings Inc. Common Shares,CLVR
Clever Leaves Holdings Inc. Warrant,CLVRW
Clovis Oncology Inc. Common Stock,CLVS
Clarivate Plc Ordinary Shares,CLVT
Clarivate Plc 5.25% Series A Mandatory Convertible Preferred Shares,CLVT^A
Clearwater Paper Corporation Common Stock,CLW
Euro Tech Holdings Company Limited Common Stock,CLWT
Clorox Company (The) Common Stock,CLX
Calyxt Inc. Common Stock,CLXT
Canadian Imperial Bank of Commerce Common Stock,CM
Comerica Incorporated Common Stock,CMA
CareMax Inc. Class A Common Stock,CMAX
CareMax Inc. Warrant,CMAXW
Cambium Networks Corporation Ordinary Shares,CMBM
Commercial Metals Company Common Stock,CMC
Caledonia Mining Corporation Plc Common Shares,CMCL
Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares,CMCM
Columbus McKinnon Corporation Common Stock,CMCO
Comcast Corporation Class A Common Stock,CMCSA
CIM Commercial Trust Corporation Common stock,CMCT
CIM Commercial Trust Corporation Series L Preferred Stock,CMCTP
CME Group Inc. Class A Common Stock,CME
Chipotle Mexican Grill Inc. Common Stock,CMG
Cummins Inc. Common Stock,CMI
Cumulus Media Inc. Class A Common Stock,CMLS
Chemomab Therapeutics Ltd. American Depositary Share,CMMB
Compass Minerals Intl Inc Common Stock,CMP
Checkmate Pharmaceuticals Inc. Common Stock,CMPI
Cimpress plc Ordinary Shares (Ireland),CMPR
COMPASS Pathways Plc American Depository Shares,CMPS
Compass Therapeutics Inc. Common Stock,CMPX
Costamare Inc. Common Stock $0.0001 par value,CMRE
Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),CMRE^B
Costamare Inc. Perpetual Preferred Series C (Marshall Islands),CMRE^C
Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,CMRE^D
Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001,CMRE^E
Chimerix Inc. Common Stock,CMRX
CMS Energy Corporation Common Stock,CMS
